in s,C1 in V
-9.99985458E+01,4.543686E+00
-9.99893905E+01,4.543533E+00
-9.99802352E+01,4.542618E+00
-9.99710800E+01,4.543839E+00
-9.99619247E+01,4.545670E+00
-9.99527694E+01,4.544601E+00
-9.99436141E+01,4.543686E+00
-9.99344588E+01,4.544296E+00
-9.99253036E+01,4.545212E+00
-9.99161483E+01,4.543228E+00
-9.99069930E+01,4.543381E+00
-9.98978377E+01,4.545212E+00
-9.98886824E+01,4.544907E+00
-9.98795272E+01,4.543991E+00
-9.98703719E+01,4.544754E+00
-9.98612166E+01,4.544907E+00
-9.98520613E+01,4.544144E+00
-9.98429060E+01,4.544449E+00
-9.98337508E+01,4.545517E+00
-9.98245955E+01,4.545975E+00
-9.98154402E+01,4.544601E+00
-9.98062849E+01,4.543839E+00
-9.97971296E+01,4.545212E+00
-9.97879744E+01,4.543839E+00
-9.97788191E+01,4.542618E+00
-9.97696638E+01,4.543533E+00
-9.97605085E+01,4.544296E+00
-9.97513532E+01,4.544144E+00
-9.97421980E+01,4.544296E+00
-9.97330427E+01,4.546432E+00
-9.97238874E+01,4.544601E+00
-9.97147321E+01,4.543533E+00
-9.97055768E+01,4.544449E+00
-9.96964216E+01,4.546585E+00
-9.96872663E+01,4.543381E+00
-9.96781110E+01,4.545517E+00
-9.96689557E+01,4.545975E+00
-9.96598004E+01,4.544601E+00
-9.96506452E+01,4.543839E+00
-9.96414899E+01,4.543991E+00
-9.96323346E+01,4.545517E+00
-9.96231793E+01,4.544601E+00
-9.96140240E+01,4.543991E+00
-9.96048688E+01,4.545670E+00
-9.95957135E+01,4.546280E+00
-9.95865582E+01,4.543686E+00
-9.95774029E+01,4.543533E+00
-9.95682476E+01,4.546280E+00
-9.95590924E+01,4.544601E+00
-9.95499371E+01,4.543991E+00
-9.95407818E+01,4.543991E+00
-9.95316265E+01,4.545975E+00
-9.95224712E+01,4.543076E+00
-9.95133160E+01,4.543228E+00
-9.95041607E+01,4.545517E+00
-9.94950054E+01,4.544601E+00
-9.94858501E+01,4.543686E+00
-9.94766948E+01,4.542770E+00
-9.94675396E+01,4.544144E+00
-9.94583843E+01,4.541092E+00
-9.94492290E+01,4.542770E+00
-9.94400737E+01,4.545059E+00
-9.94309184E+01,4.544754E+00
-9.94217632E+01,4.543381E+00
-9.94126079E+01,4.543533E+00
-9.94034526E+01,4.544754E+00
-9.93942973E+01,4.543686E+00
-9.93851420E+01,4.543839E+00
-9.93759868E+01,4.545822E+00
-9.93668315E+01,4.545670E+00
-9.93576762E+01,4.543686E+00
-9.93485209E+01,4.545212E+00
-9.93393656E+01,4.547043E+00
-9.93302104E+01,4.545364E+00
-9.93210551E+01,4.545517E+00
-9.93118998E+01,4.545670E+00
-9.93027445E+01,4.546280E+00
-9.92935892E+01,4.544754E+00
-9.92844340E+01,4.545517E+00
-9.92752787E+01,4.546738E+00
-9.92661234E+01,4.545517E+00
-9.92569681E+01,4.544907E+00
-9.92478128E+01,4.545364E+00
-9.92386576E+01,4.545822E+00
-9.92295023E+01,4.544296E+00
-9.92203470E+01,4.544907E+00
-9.92111917E+01,4.547195E+00
-9.92020364E+01,4.546127E+00
-9.91928812E+01,4.545822E+00
-9.91837259E+01,4.544907E+00
-9.91745706E+01,4.546127E+00
-9.91654153E+01,4.543991E+00
-9.91562600E+01,4.543228E+00
-9.91471048E+01,4.544601E+00
-9.91379495E+01,4.543381E+00
-9.91287942E+01,4.541550E+00
-9.91196389E+01,4.541245E+00
-9.91104836E+01,4.544907E+00
-9.91013284E+01,4.542160E+00
-9.90921731E+01,4.543076E+00
-9.90830178E+01,4.543686E+00
-9.90738625E+01,4.545517E+00
-9.90647072E+01,4.543686E+00
-9.90555520E+01,4.545517E+00
-9.90463967E+01,4.542160E+00
-9.90372414E+01,4.543381E+00
-9.90280861E+01,4.544144E+00
-9.90189308E+01,4.543533E+00
-9.90097756E+01,4.543533E+00
-9.90006203E+01,4.543381E+00
-9.89914650E+01,4.544296E+00
-9.89823097E+01,4.541550E+00
-9.89731544E+01,4.541855E+00
-9.89639992E+01,4.541702E+00
-9.89548439E+01,4.541397E+00
-9.89456886E+01,4.541550E+00
-9.89365333E+01,4.543076E+00
-9.89273780E+01,4.544144E+00
-9.89182228E+01,4.542160E+00
-9.89090675E+01,4.543076E+00
-9.88999122E+01,4.543381E+00
-9.88907569E+01,4.543991E+00
-9.88816016E+01,4.542618E+00
-9.88724464E+01,4.542770E+00
-9.88632911E+01,4.543533E+00
-9.88541358E+01,4.541245E+00
-9.88449805E+01,4.540634E+00
-9.88358252E+01,4.541855E+00
-9.88266700E+01,4.542618E+00
-9.88175147E+01,4.540939E+00
-9.88083594E+01,4.542313E+00
-9.87992041E+01,4.543381E+00
-9.87900488E+01,4.542465E+00
-9.87808936E+01,4.541702E+00
-9.87717383E+01,4.543381E+00
-9.87625830E+01,4.544601E+00
-9.87534277E+01,4.543076E+00
-9.87442724E+01,4.542923E+00
-9.87351172E+01,4.544296E+00
-9.87259619E+01,4.543839E+00
-9.87168066E+01,4.542465E+00
-9.87076513E+01,4.542770E+00
-9.86984960E+01,4.543686E+00
-9.86893408E+01,4.542770E+00
-9.86801855E+01,4.541855E+00
-9.86710302E+01,4.543076E+00
-9.86618749E+01,4.543228E+00
-9.86527196E+01,4.541245E+00
-9.86435644E+01,4.541550E+00
-9.86344091E+01,4.543228E+00
-9.86252538E+01,4.542465E+00
-9.86160985E+01,4.543228E+00
-9.86069432E+01,4.541855E+00
-9.85977880E+01,4.543839E+00
-9.85886327E+01,4.541550E+00
-9.85794774E+01,4.542770E+00
-9.85703221E+01,4.543839E+00
-9.85611668E+01,4.542618E+00
-9.85520116E+01,4.542007E+00
-9.85428563E+01,4.541397E+00
-9.85337010E+01,4.544907E+00
-9.85245457E+01,4.541855E+00
-9.85153904E+01,4.542007E+00
-9.85062352E+01,4.543991E+00
-9.84970799E+01,4.545059E+00
-9.84879246E+01,4.543076E+00
-9.84787693E+01,4.544754E+00
-9.84696140E+01,4.546890E+00
-9.84604588E+01,4.543533E+00
-9.84513035E+01,4.542618E+00
-9.84421482E+01,4.543228E+00
-9.84329929E+01,4.544601E+00
-9.84238376E+01,4.542465E+00
-9.84146824E+01,4.543533E+00
-9.84055271E+01,4.545517E+00
-9.83963718E+01,4.545059E+00
-9.83872165E+01,4.543533E+00
-9.83780612E+01,4.544449E+00
-9.83689060E+01,4.546280E+00
-9.83597507E+01,4.544449E+00
-9.83505954E+01,4.545212E+00
-9.83414401E+01,4.545364E+00
-9.83322848E+01,4.544907E+00
-9.83231296E+01,4.543839E+00
-9.83139743E+01,4.544601E+00
-9.83048190E+01,4.545059E+00
-9.82956637E+01,4.543686E+00
-9.82865084E+01,4.543076E+00
-9.82773532E+01,4.544144E+00
-9.82681979E+01,4.543991E+00
-9.82590426E+01,4.542465E+00
-9.82498873E+01,4.543076E+00
-9.82407320E+01,4.544144E+00
-9.82315768E+01,4.543076E+00
-9.82224215E+01,4.542923E+00
-9.82132662E+01,4.544449E+00
-9.82041109E+01,4.545670E+00
-9.81949556E+01,4.542770E+00
-9.81858004E+01,4.543076E+00
-9.81766451E+01,4.545059E+00
-9.81674898E+01,4.543533E+00
-9.81583345E+01,4.542007E+00
-9.81491792E+01,4.543686E+00
-9.81400240E+01,4.544449E+00
-9.81308687E+01,4.542618E+00
-9.81217134E+01,4.542618E+00
-9.81125581E+01,4.544907E+00
-9.81034028E+01,4.544754E+00
-9.80942476E+01,4.543991E+00
-9.80850923E+01,4.543076E+00
-9.80759370E+01,4.544754E+00
-9.80667817E+01,4.542770E+00
-9.80576264E+01,4.542770E+00
-9.80484712E+01,4.543839E+00
-9.80393159E+01,4.544449E+00
-9.80301606E+01,4.542465E+00
-9.80210053E+01,4.542007E+00
-9.80118500E+01,4.543076E+00
